sample,lat,long
 CH5 - Average,52.377972,1.712153
 Covehithe 28-5-09 CH5,52.377972,1.712153
 Covehithe 28-5-09 CH5,52.377972,1.712153
 Covehithe 28-5-09 CH5,52.377972,1.712153
 Covehithe 28-5-09 CH5 - Average,52.377972,1.712153
 Covehithe 28-5-09 CH6 (contaminated with EC3),52.377972,1.712153
 Covehithe 28-5-09 CH6 (contaminated with EC3),52.377972,1.712153
 Covehithe 28-5-09 CH6 (contaminated with EC3),52.377972,1.712153
 Covehithe 28-5-09 CH6 (contaminated with EC3) - Average,52.377972,1.712153
 Covehithe 28-05-09 CH6 (contaminated with EC3) Not slurry,52.377972,1.712153
 Covehithe 28-05-09 CH6 (contaminated with EC3) Not slurry,52.377972,1.712153
 Covehithe 28-05-09 CH6 (contaminated with EC3) Not slurry,52.377972,1.712153
 Covehithe 28-05-09 CH6 (contaminated with EC3) Not slurry - Average,52.377972,1.712153
 CH7,52.377972,1.712153
 CH7,52.377972,1.712153
 CH7,52.377972,1.712153
 CH7 - Average,52.377972,1.712153
 Covehithe 28-5-09 CH7,52.377972,1.712153
 Covehithe 28-5-09 CH7,52.377972,1.712153
 Covehithe 28-5-09 CH7,52.377972,1.712153
 Covehithe 28-5-09 CH7 - Average,52.377972,1.712153
 DUN 1  4.4.09,52.264964,1.629247
 DUN 1  4.4.09,52.264964,1.629247
 DUN 1  4.4.09,52.264964,1.629247
 DUN 1  4.4.09 - Average,52.264964,1.629247
 DUN 2  4.4.09,52.264964,1.629247
 DUN 2  4.4.09,52.264964,1.629247
 DUN 2  4.4.09,52.264964,1.629247
 DUN 2  4.4.09 - Average,52.264964,1.629247
 DUN 3 4.4.09,52.258608,1.6288
 DUN 3 4.4.09,52.258608,1.6288
 DUN 3 4.4.09,52.258608,1.6288
 DUN 3 4.4.09 - Average,52.258608,1.6288
 DUN 4 4.4.09,52.258608,1.6288
 DUN 4 4.4.09,52.258608,1.6288
 DUN 4 4.4.09,52.258608,1.6288
 DUN 4 4.4.09 - Average,52.258608,1.6288
 DUN 5 4.4.09,52.258511,1.628783
 DUN 5 4.4.09,52.258511,1.628783
 DUN 5 4.4.09,52.258511,1.628783
 DUN 5 4.4.09 - Average,52.258511,1.628783
 DUN 6  4.4.09,52.258511,1.628783
 DUN 6  4.4.09,52.258511,1.628783
 DUN 6  4.4.09,52.258511,1.628783
 DUN 6  4.4.09 - Average,52.258511,1.628783
 DUN 8 4.4.09,52.254253,1.628661
 DUN 8 4.4.09,52.254253,1.628661
 DUN 8 4.4.09,52.254253,1.628661
 DUN 8 4.4.09 - Average,52.254253,1.628661
 DUN 9 4.4.09,52.25415,1.628636
 DUN 9 4.4.09,52.25415,1.628636
 DUN 9 4.4.09,52.25415,1.628636
 DUN 9 4.4.09 - Average,52.25415,1.628636
 DUN 10 4.4.09,52.25415,1.628636
 DUN 10 4.4.09,52.25415,1.628636
 DUN 10 4.4.09,52.25415,1.628636
 DUN 10 4.4.09 - Average,52.25415,1.628636
 DUN 11,52.251142,1.628683
 DUN 11,52.251142,1.628683
 DUN 11,52.251142,1.628683
 DUN 11 - Average,52.251142,1.628683
 DUN 12,52.251142,1.628683
 DUN 12,52.251142,1.628683
 DUN 12,52.251142,1.628683
 DUN 12 - Average,52.251142,1.628683
 DUN 13 4.4.09,52.251142,1.628683
 DUN 13 4.4.09,52.251142,1.628683
 DUN 13 4.4.09,52.251142,1.628683
 DUN 13 4.4.09 - Average,52.251142,1.628683
 DUN14 4.4.09,52.251142,1.628683
 DUN14 4.4.09,52.251142,1.628683
 DUN14 4.4.09,52.251142,1.628683
 DUN14 4.4.09 - Average,52.251142,1.628683
 DUN 15 4.4.09,52.2509,1.628706
 DUN 15 4.4.09,52.2509,1.628706
 DUN 15 4.4.09,52.2509,1.628706
 DUN 15 4.4.09 - Average,52.2509,1.628706
 Dun 20 7.5.9,52.270986,1.630556
 Dun 20 7.5.9,52.270986,1.630556
 Dun 20 7.5.9,52.270986,1.630556
 Dun 20 7.5.9 - Average,52.270986,1.630556
 Dun 21 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 21 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 21 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 21 7.5.9 Dunwich Cliff - Average,52.270986,1.630556
 Dun 22 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 22 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 22 7.5.9 Dunwich Cliff,52.270986,1.630556
 Dun 22 7.5.9 Dunwich Cliff - Average,52.270986,1.630556
 Dun 23 7.5.9,52.272111,1.630814
 Dun 23 7.5.9,52.272111,1.630814
